a,a,a,a,a
1,3153.47,1,41,1
2,9473.18,2,65,2
3,24042.65,3,10,4
4,7992.66,4,27,3
5,2534.49,5,87,2
6,15489.43,6,64,2
7,21807.31,7,4,5
8,21745.38,8,17,4
9,18469.53,9,18,2
10,22607.13,10,37,5
11,11032.26,11,59,4
12,12951.96,12,42,3
13,21200.6,13,36,1
14,122.56,14,92,5
15,15622.8,15,38,4
16,5084.83,16,7,3
17,31976.5,17,66,5
18,18517.62,18,55,1
19,30616.78,19,96,1
20,10161.4,20,79,5
21,28845.74,21,76,5
22,24176.6,22,67,1
23,26289.7,23,95,1
24,70.54,24,64,5
25,16290.43,25,19,3
26,7324.98,26,45,5
27,17778.87,27,17,5
28,8973.36,28,52,5
29,29318.32,29,53,5
30,6122.23,30,49,4
31,3642.55,31,1,4
32,6326.7,32,91,2
33,6491.91,33,70,3
34,12459.54,34,5,5
35,2732.68,35,37,3
36,32051.54,36,78,1
37,23394.12,37,31,1
38,8816.41,38,69,5
39,25512.73,39,31,5
40,4021.15,40,23,2
41,1820.85,41,94,1
42,5130.6,42,64,1
43,12624.48,43,94,5
44,17068.92,44,77,3
45,8778.94,45,36,1
46,10122.78,46,97,2
47,2820.47,47,80,3
48,19402.9,48,99,2
49,31212.13,49,89,4
50,2626.46,50,93,1
51,5989.9,51,42,1
52,13311.88,52,9,1
53,12869.38,53,70,1
54,1217.3,54,67,5
55,7253.44,55,65,3
56,26493.32,56,28,1
57,22228.11,57,5,3
58,2778.75,58,66,5
59,3828.1,59,58,2
60,17844.4,60,34,2
61,27227.56,61,63,2
62,19356.93,62,20,5
63,9123.18,63,54,1
64,12630.36,64,22,1
65,30427.31,65,11,2
66,16730.6,66,90,1
67,24068.27,67,70,4
68,8276.42,68,79,3
69,7572.4,69,57,4
70,16804.59,70,100,3
71,8439.4,71,3,1
72,11230.34,72,97,5
73,9993.41,73,31,1
74,3402.33,74,8,4
75,16029.2,75,94,1
76,8294.97,76,13,4
77,4857.98,77,89,2
78,24671.89,78,54,4
79,2136.5,79,87,3
80,3484.72,80,37,3
81,10342.57,81,73,2
82,563.83,82,37,3
83,24263.29,83,97,2
84,22130.33,84,40,4
85,1425.91,85,74,1
86,21847.41,86,32,3
87,16846.88,87,100,4
88,16664.63,88,61,3
89,12283.11,89,33,1
90,26525.12,90,29,1
91,24715.78,91,100,5
92,1792.9,92,64,4
93,9317.21,93,22,3
94,532.72,94,20,3
95,10593.2,95,24,3
96,25819.52,96,98,4
97,26319.84,97,58,1
98,14606.44,98,35,5
99,23024.39,99,47,5
100,10905.55,100,97,5
101,4731.45,101,55,1
102,31772.39,102,39,2
103,3866.52,103,28,5
104,19308.81,104,72,4
105,27114.6,105,53,2
106,9744.3,106,17,3
107,21759.68,107,98,2
108,28100.98,108,82,5
109,26333.36,109,86,5
110,3321.96,110,17,4
111,14080.87,111,64,3
112,31571.96,112,83,2
113,19029.55,113,6,4
114,4650.9,114,33,4
115,20415.33,115,33,5
116,12554.63,116,36,5
117,11411.44,117,47,1
118,12851.33,118,14,2
119,22811.33,119,7,3
120,12057.67,120,63,1
121,3351.93,121,57,3
122,5349.82,122,48,4
123,15416.23,123,20,1
124,2290.72,124,11,1
125,25251.75,125,22,5
126,7504.1,126,97,1
127,8564.67,127,19,4
128,21829.72,128,83,5
129,11064.3,129,34,4
130,31175.42,130,94,1
131,114.4,131,78,3
132,15876.5,132,63,5
133,31767.43,133,82,4
134,13274.51,134,68,4
135,12306.18,135,46,3
136,4191.82,136,17,3
137,4545.25,137,52,5
138,16474.41,138,43,2
139,30326.26,139,16,2
140,19656.53,140,16,2
141,24566.86,141,53,1
142,3929.5,142,65,2
143,6398.56,143,53,1
144,14064.69,144,7,3
145,8633.53,145,81,4
146,7206.64,146,67,5
147,27723.23,147,26,2
148,26055.1,148,66,4
149,26953.15,149,45,1
150,32083.1,150,61,4
151,25662.43,151,96,3
152,21375.69,152,66,5
153,12328.36,153,71,2
154,29874.25,154,41,3
155,9209.77,155,88,4
156,28040.15,156,8,1
157,26391.66,157,87,5
158,32594.5,158,4,4
159,3548.81,159,47,4
160,9364.53,160,77,4
161,1559.49,161,30,5
162,25990.5,162,14,4
163,21385.5,163,69,1
164,31891.13,164,79,5
165,7272.83,165,99,1
166,19165.5,166,37,1
167,1503.28,167,65,3
168,7351.23,168,62,5
169,24716.8,169,20,3
170,15914.89,170,66,4
171,9474.24,171,55,3
172,24433.49,172,83,1
173,16453.62,173,48,2
174,18813.55,174,82,4
175,12368.55,175,63,5
176,25201.46,176,39,3
177,28818.97,177,20,3
178,551.87,178,85,4
179,13932.94,179,84,3
180,5801.37,180,60,2
181,32180.83,181,60,1
182,6328.8,182,57,3
183,25910.14,183,74,4
184,20553.23,184,69,4
185,23342.56,185,97,2
186,26883.45,186,90,2
187,6607.36,187,49,1
188,22211.27,188,53,3
189,29632.6,189,9,4
190,2585.92,190,19,5
191,28825.72,191,16,3
192,29896.84,192,48,2
193,14698.57,193,4,1
194,24137.74,194,43,2
195,21812.9,195,62,1
196,2120.7,196,44,1
